restaurant_code,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,restaurant_review_count,restaurant_review_point,naver_blog_count,restaurant_size
233,"서울특별시 마포구 동교로34길 6 (연남동)",삐딱,,한식주점,0,0,0,0,0,0
234,"서울특별시 마포구 성미산로22길 18 (연남동) 프로젝트 에이 1층",펠른,,"커피전문점,라이브디저트",0,0,0,0,0,0
235,"서울특별시 마포구 성미산로 188 (연남동)",화설,,소고기구이,0,0,0,0,0,0
236,"서울특별시 마포구 동교로52길 10-7 (연남동) 1층",아민연남,,지중해식,0,0,0,0,0,0
237,"서울특별시 마포구 연남로3길 10 (연남동) 1층",한촉,,"초콜릿,카페",0,0,0,0,0,0
238,"서울특별시 마포구 월드컵북로4길 59 (동교동)",옹시미,,"감자옹심이,칼국수",0,0,0,0,0,0
239,"서울특별시 마포구 성미산로29길 17-8 (연남동) 2층",커피리브레,,커피전문점,0,0,0,0,0,0
240,"서울특별시 마포구 동교로46길 28 (연남동) 1~3층",포포민즈낫띵,,디저트전문점,0,0,0,0,0,0
241,"서울특별시 마포구 연희로1길 45-6 (연남동)",고스트블랙연남,,바비큐,0,0,0,0,0,0
242,"서울특별시 마포구 동교로27길 83 (연남동)",쿠로코식당,,"라멘,마제소바",0,0,0,0,0,0
243,"서울특별시 마포구 동교로29길 38 (연남동)",크림하우스아이스크림파티세리,,젤라토,0,0,0,0,0,0
244,"서울특별시 마포구 동교로39길 9 (연남동)",곤로야끼니꾸,,야키니쿠,0,0,0,0,0,0
245,"서울특별시 마포구 독막로7길 51 (서교동) 2층",백소정,,"소바,일식돈가스",0,0,0,0,0,0
246,"서울특별시 마포구 동교로38길 33-15 (연남동)",카쿠시타,,"이자카야,일식돈가스,모츠나베",0,0,0,0,0,0
247,"서울특별시 마포구 동교로 267 (연남동)",아노브피자,,"피자,파스타",0,0,0,0,0,0
248,"서울특별시 마포구 와우산로29마길 10-4 (서교동)",토라슌,,야키니쿠,0,0,0,0,0,0
249,"서울특별시 종로구 대학로11길 12 (명륜4가)",스노브,,"케이크,디저트전문점",0,0,0,0,0,0
250,"서울특별시 종로구 인사동8길 6-1 (관훈동)",도마,,소고기구이,0,1,0,0,0,0
251,"서울특별시 종로구 북촌로2길 14 (재동)",도마유즈라멘,,"라멘,소고기구이",0,0,0,0,0,0
252,"서울특별시 종로구 북촌로11다길 41 (삼청동)",츄로101,,츄러스,0,0,0,0,0,0
253,"서울특별시 종로구 자하문로9길 14 (통인동)",스노브,,"케이크,디저트전문점",0,0,0,0,0,0
254,"서울특별시 중구 중림로 31 (중림동)",도마,,소고기구이,0,1,0,0,0,0
255,"서울특별시 마포구 와우산로13길 49-3 (상수동)",꽃피는고기,,"돼지고기구이,소고기구이",0,0,0,0,0,0
256,"서울특별시 마포구 와우산로17길 19-17 (서교동)",38도씨식당,,이탈리아식,0,0,0,0,0,0
257,"서울특별시 마포구 와우산로17길 19-17 (서교동) 1층",모크,,카페,0,0,0,0,0,0
258,"서울특별시 서대문구 연희로 89 (연희동)",홍대삭,,떡볶이,0,0,0,0,0,0
259,"서울특별시 서대문구 연희맛로 17-49 (연희동)",제니스까페,,"카페,브런치카페",0,0,0,0,0,0
