,address,restaurant_name,restaurant_class,menu_tag,blue_ribbon_count,red_ribbon_count,catchTable_review_count,catchTable_review_point,googleMap_review_count,googleMap_review_point,review_count_sum,ratings_mean
128,서울특별시 용산구 보광로59길 14-1 (이태원동),이태원단골집,일식,무국적술집,0,0,17,4.5,0,0.0,17,4.5
129,서울특별시 용산구 녹사평대로 174-11 (이태원동),네키드윙즈,경양식,미국식,0,0,750,4.8,0,0.0,750,4.8
130,서울특별시 용산구 녹사평대로40나길 48-20 (이태원동),마메종394,기타,"이탈리아식,와인바",0,0,15,4.6,0,0.0,15,4.6
131,서울특별시 용산구 이태원로54길 68 (한남동),소와나,기타,한우오마카세,0,0,267,4.5,0,0.0,267,4.5
132,서울특별시 용산구 이태원로19길 6 (이태원동),흥미식당,분식,백반,0,0,0,0.0,186,4.0,186,4.0
133,서울특별시 용산구 이태원로20가길 7-2 (이태원동),쏭타이,기타,태국식,0,0,47,4.4,324,4.2,371,4.300000000000001
134,서울특별시 용산구 대사관로12길 4-2 (한남동) 2층,뮤땅,경양식,"프렌치비스트로,와인바",0,0,1251,4.8,0,0.0,1251,4.8
135,서울특별시 용산구 우사단로14길 4 (이태원동) 103호,바라핀부쉬,경양식,"샤퀴테리,프렌치비스트로",0,0,123,4.6,0,0.0,123,4.6
136,서울특별시 용산구 장문로 23 (이태원동) 몬드리안 서울 이태원 1층,클레오,기타,지중해식,0,0,602,4.5,0,0.0,602,4.5
137,서울특별시 용산구 이태원로54가길 20 (한남동),아우프글렛,경양식,"크로플,카페",0,0,26,4.1,0,0.0,26,4.1
138,서울특별시 용산구 녹사평대로 168-6 (이태원동) 1층,오띠젤리,기타,"카페,샌드위치",0,0,0,0.0,70,4.7,70,4.7
139,서울특별시 용산구 신흥로 81-1 (용산동2가),윤주당,한식,한식주점,0,0,5,4.4,0,0.0,5,4.4
140,서울특별시 용산구 이태원로55가길 49 (한남동),써머레인,기타,"호주식브런치,브런치카페",0,0,0,0.0,537,4.1,537,4.1
141,서울특별시 용산구 신흥로 59 (용산동2가),베제투스,까페,비건,0,0,36,4.5,0,0.0,36,4.5
142,서울특별시 용산구 녹사평대로40길 59-1 (이태원동),술꼬마,기타,"한식주점,퓨전한식",0,0,33,4.6,0,0.0,33,4.6
143,서울특별시 용산구 이태원로23길 6 (이태원동),야상해,한식,중국만두,0,0,0,0.0,330,4.4,330,4.4
144,서울특별시 용산구 이태원로 136-13 (이태원동),라이너스바베큐,식육(숯불구이),바비큐,0,0,291,4.4,12,4.3,303,4.35
145,서울특별시 용산구 녹사평대로46길 34-2 (이태원동),누랑즈뉘,중국식,일반중식,0,0,23,4.9,30,4.5,53,4.7
146,서울특별시 용산구 회나무로41길 4 (이태원동),모수서울,기타,컨템포러리,0,0,340,4.9,0,0.0,340,4.9
147,서울특별시 용산구 회나무로 3 (이태원동) 1층,안씨막걸리,기타,"한식주점,막걸리전문점",0,0,1150,4.8,0,0.0,1150,4.8
148,서울특별시 용산구 보광로 120 (이태원동),꾸띠자르당,경양식,프랑스식,0,0,470,3.9,699,4.1,1169,4.0
149,서울특별시 용산구 신흥로 35 (용산동2가),카사블랑카,기타,"모로코식,샌드위치",0,0,0,0.0,567,4.5,567,4.5
150,서울특별시 용산구 이태원로 192 (이태원동),케르반레스토랑,"외국음식전문점(인도,태국등)",튀르키예식,0,0,29,4.6,0,0.0,29,4.6
151,서울특별시 용산구 이태원로 192 (이태원동) 3층,어메이징타이,한식,태국식,0,0,43,4.2,0,0.0,43,4.2
152,서울특별시 용산구 우사단로 31 (이태원동),한도니,한식,돼지고기구이,0,0,6,4.7,0,0.0,6,4.7
153,서울특별시 용산구 이태원로 216 (한남동),스페인클럽,기타,스페인식,0,0,333,4.8,0,0.0,333,4.8
154,서울특별시 용산구 이태원로27가길 26 (이태원동) 헤밀턴호텔 별관 1층,프로스트,기타,펍,0,0,0,0.0,44,4.5,44,4.5
155,서울특별시 용산구 이태원로 164-1 (이태원동) 5층,트로이카,기타,러시아식,0,0,19,4.6,0,0.0,19,4.6
156,서울특별시 용산구 이태원로27가길 26 (이태원동) 해밀톤호텔 별관,단풍나무집,,"소고기구이,돼지고기구이",0,0,1,5.0,0,0.0,1,5.0
157,서울특별시 용산구 신흥로 98 (용산동2가),해방촌노아,기타,"피자,파스타,이탈리아식",0,0,156,4.4,0,0.0,156,4.4
158,서울특별시 용산구 이태원로 153 (이태원동) 덕흥빌딩 지하1층,아그라,호프/통닭,인도식,0,0,52,4.9,0,0.0,52,4.9
159,서울특별시 용산구 소월로 322 (한남동) 그랜드하얏트서울 지하1층,텐카이,기타,이자카야,0,0,0,0.0,106,4.7,106,4.7
160,서울특별시 용산구 대사관로 46 (한남동) 서울빌딩,도이치하우스,기타,호프,0,0,1,5.0,261,4.5,262,4.75
161,서울특별시 마포구 토정로 136-13 (상수동) 우성빌딩 7층,괴르츠,기타,양식,0,0,2346,4.5,0,0.0,2346,4.5
162,서울특별시 마포구 와우산로3길 28 (상수동),김씨네심야식당,일식,이자카야,0,0,1823,4.8,0,0.0,1823,4.8
163,서울특별시 마포구 양화로8길 32-17 (서교동),에고,경양식,카페,0,0,465,4.6,0,0.0,465,4.6
164,서울특별시 마포구 와우산로3길 49 (당인동),그문화다방,까페,카페,0,0,43,4.8,0,0.0,43,4.8
165,서울특별시 마포구 와우산로21길 4-3 (서교동),다락투,기타,"칼국수,닭곰탕",0,0,0,0.0,428,4.4,428,4.4
166,서울특별시 마포구 와우산로18길 20 (서교동),예티,경양식,퓨전,0,0,5,4.9,0,0.0,5,4.9
167,"서울특별시 마포구 동교로51안길 11 (연남동) 1, 2층",티브커피하우스,기타,카페,0,0,330,4.7,0,0.0,330,4.7
168,서울특별시 마포구 동교로38길 5 (연남동) 2층,육미안,한식,소갈비,0,0,82,4.5,0,0.0,82,4.5
169,서울특별시 마포구 양화로19길 22-8 (동교동),tytd,경양식,"베이커리,카페",0,0,8,4.6,0,0.0,8,4.6
170,서울특별시 마포구 독막로3길 34 (서교동) 1층,홍대육지,한식,돼지고기구이,0,0,567,4.5,0,0.0,567,4.5
171,서울특별시 마포구 동교로 262-11 (연남동) 1층,연미정,경양식,일식,0,0,0,0.0,24,4.7,24,4.7
172,서울특별시 마포구 독막로3길 30 (서교동) 에이치포빌딩 2층,우마담,기타,한우오마카세,0,0,1797,4.8,0,0.0,1797,4.8
173,서울특별시 마포구 연희로1길 43 (연남동) 1층 101호,서양면옥,패밀리레스트랑,양식,0,0,0,0.0,277,4.9,277,4.9
174,서울특별시 마포구 와우산로 29-8 (상수동),브렛피자,기타,피자,0,0,92,4.8,0,0.0,92,4.8
175,서울특별시 마포구 성미산로17길 85 (연남동) 1층,히포브런치하우스,기타,브런치카페,0,0,0,0.0,187,4.7,187,4.7
176,서울특별시 마포구 동교로 227-7 (연남동),스시지현,일식,스시,0,0,0,0.0,180,4.6,180,4.6
177,서울특별시 마포구 양화로19길 22 (동교동),비스트로고트,기타,"파스타,이탈리아식",0,0,384,4.9,0,0.0,384,4.9
178,서울특별시 마포구 와우산로13길 49-7 (상수동),경주식당,일식,"퓨전한식,덮밥,일반한식",0,0,101,4.3,0,0.0,101,4.3
179,서울특별시 마포구 성미산로 122 (연남동) 1층,모이정,기타,"야키토리,이자카야",0,0,648,4.8,0,0.0,648,4.8
180,서울특별시 마포구 동교로25길 28 (동교동),레드플랜트,기타,카페,0,0,7,4.5,0,0.0,7,4.5
181,서울특별시 마포구 연희로 29 (동교동),태국수,"외국음식전문점(인도,태국등)",태국식,0,0,143,4.7,217,4.4,360,4.550000000000001
182,서울특별시 마포구 동교로39길 8 (연남동) 1-2층,코이크,기타,"케이크,카페",0,0,20,4.6,0,0.0,20,4.6
183,서울특별시 마포구 동교로36길 3 (연남동),초이다이닝,"외국음식전문점(인도,태국등)",후토마키,0,0,81,3.8,322,4.3,403,4.05
184,서울특별시 마포구 동교로38길 27 (연남동) 2층,양식구옥,경양식,"피자,파스타",0,0,0,0.0,21,4.7,21,4.7
185,서울특별시 마포구 동교로38길 30 (연남동) 2층,폴리스팬케이크,기타,"카페,팬케이크",0,0,8,4.7,0,0.0,8,4.7
186,서울특별시 마포구 동교로 186-1 (동교동),흠식당,한식,컨템포러리,0,0,78,4.9,0,0.0,78,4.9
187,서울특별시 마포구 독막로15길 3-14 (상수동) 요셉빌딩,멕시카고타코23,기타,멕시코식,0,0,20,4.9,28,4.8,48,4.85
188,서울특별시 마포구 양화로 140 (동교동) 디큐브빌딩 11층,스페이스결,한식,모던한식,0,0,38,4.6,0,0.0,38,4.6
189,서울특별시 마포구 양화로8길 16-12 (서교동),안짱,일식,이자카야,0,0,56,4.9,0,0.0,56,4.9
190,서울특별시 마포구 양화로6길 99-10 (서교동),합정냉장고,기타,돼지고기구이,0,0,237,5.0,0,0.0,237,5.0
191,서울특별시 마포구 토정로2길 6-9 (합정동),교호,기타,와인바,0,0,211,4.9,0,0.0,211,4.9
192,서울특별시 마포구 양화로6길 103 (서교동) 1층,제비집,일식,돼지고기구이,0,0,2,5.0,0,0.0,2,5.0
193,서울특별시 마포구 어울마당로5길 50 (서교동) 씨케이21,오스테리아리오,일식,이탈리아식,0,0,5805,4.6,0,0.0,5805,4.6
194,서울특별시 마포구 독막로8길 30 (합정동),해옫합정,정종/대포집/소주방,브런치카페,0,0,69,4.0,0,0.0,69,4.0
195,서울특별시 마포구 독막로3길 24-11 (서교동) 지하1층,쿠시카츠오지상,한식,"쿠시카츠,이자카야",0,0,56,4.9,0,0.0,56,4.9
196,서울특별시 마포구 토정로 28-8 (합정동) 1층,라라와케이,경양식,와인바,0,0,721,4.9,0,0.0,721,4.9
197,서울특별시 마포구 독막로3길 28-20 (서교동) 1층,카페레터,기타,"카페,크루아상",0,0,31,4.9,41,4.5,72,4.7
198,서울특별시 마포구 독막로9길 28 (서교동) 실버스톤II,서교동의봄,기타,양식,0,0,482,4.8,0,0.0,482,4.8
199,"서울특별시 마포구 와우산로3안길 2 (상수동) 에프하우스 1, 2층",후쿠란,일식,"이자카야,스시",0,0,44,4.7,0,0.0,44,4.7
200,서울특별시 마포구 양화로16길 19 (서교동),육몽,한식,"돼지고기구이,소고기구이",0,0,0,0.0,1014,4.7,1014,4.7
201,서울특별시 마포구 독막로5길 5 (합정동) 2층,토끼다이닝,기타,한식주점,0,0,0,0.0,322,4.3,322,4.3
202,서울특별시 마포구 와우산로27길 20 (서교동) 노아빌딩 1층,베리블리스,기타,"디저트전문점,브런치카페",0,0,12,4.9,0,0.0,12,4.9
203,서울특별시 마포구 성지3길 19 (합정동) 아진빌딩 2층,식선,일식,일식오마카세,0,0,813,4.9,0,0.0,813,4.9
204,서울특별시 마포구 독막로14길 31 (상수동) 1층,라멘트럭,경양식,라멘,0,0,0,0.0,695,4.3,695,4.3
205,서울특별시 마포구 토정로 28-7 (합정동),데빌스바지니코,경양식,"피자,파스타",0,0,223,4.8,0,0.0,223,4.8
206,서울특별시 마포구 토정로 33-1 (합정동) 1층,익스첼,기타,멕시코식,0,0,271,4.7,0,0.0,271,4.7
207,서울특별시 마포구 양화로18안길 15 (동교동) 1층,레이몬드,경양식,"미국식,미국식피자",0,0,0,0.0,114,4.9,114,4.9
208,서울특별시 마포구 독막로2길 34 (합정동),아소토,기타,이자카야,0,0,1129,4.8,0,0.0,1129,4.8
209,서울특별시 마포구 독막로9길 43 (서교동) 코마빌딩 1층,미티,라이브카페,"다이닝바,와인바",0,0,1100,4.9,0,0.0,1100,4.9
210,서울특별시 마포구 양화로6길 10 (합정동) 2층,스키야키201,한식,"스키야키,일식샤부샤부",0,0,526,4.7,0,0.0,526,4.7
211,서울특별시 마포구 와우산로13길 49-11 (상수동),카츠닉,일식,일식돈가스,0,0,3,5.0,39,4.9,42,4.95
212,서울특별시 마포구 독막로19길 20-6 (상수동),플레이트946,기타,"파스타,이탈리아식",0,0,20,4.7,0,0.0,20,4.7
213,서울특별시 마포구 독막로9길 31 (서교동) SPACE,카레시,"외국음식전문점(인도,태국등)",수프카레,0,0,0,0.0,41,4.5,41,4.5
214,서울특별시 마포구 독막로8길 33-5 (합정동),실루엣커피,기타,카페,0,0,3,4.8,0,0.0,3,4.8
215,서울특별시 마포구 성지길 35 (합정동),네즈,일식,이자카야,0,0,51,4.3,0,0.0,51,4.3
216,서울특별시 마포구 와우산로23길 9 (서교동) 칼리오페 1층,츠케루,일식,라멘,0,0,0,0.0,579,4.5,579,4.5
217,서울특별시 마포구 와우산로3길 15 (상수동),하꼬,경양식,"후토마키,이자카야",0,0,49,4.7,0,0.0,49,4.7
218,서울특별시 마포구 와우산로 15-5 (상수동),미식가주택,,한식주점,0,0,574,4.5,0,0.0,574,4.5
219,서울특별시 마포구 독막로 67-8 (상수동),홍대삭,일식,분식,0,0,485,4.8,103,4.5,588,4.65
220,서울특별시 마포구 양화로 122 (서교동),옹다래찜닭,한식,찜닭,0,0,0,0.0,207,4.5,207,4.5
221,서울특별시 마포구 와우산로15길 15 (서교동),윤씨밀방,까페,퓨전,0,0,0,0.0,78,4.6,78,4.6
222,서울특별시 마포구 와우산로29마길 5 (서교동),타파스나인,기타,타파스바,0,0,95,4.4,0,0.0,95,4.4
